index,Drug_Name,Reason,Description
1,A CN Gel(Topical) 20gmA CN Soap 75gm,Acne,Mild to moderate acne (spots)
2,A Ret 0.05% Gel 20gmA Ret 0.1% Gel 20gmA Ret 0.025% Gel 20gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
3,ACGEL CL NANO Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
4,ACGEL NANO Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
5,Acleen 1% Lotion 25ml,Acne,treat the most severe form of acne (nodular acne)Â 
6,Aclene 0.10% Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
7,Acnay Gel 10gm,Acne,treat the most severe form of acne (nodular acne)Â 
8,Acne Aid Bar 50gmAcne Aid Bar 100gm,Acne,Â treat acne vulgarisÂ 
9,Acne UV Gel 60gm,Acne,Â treat acne vulgarisÂ 
10,Acne UV SPF 30 Gel 30gm,Acne,Â treat mild to moderate acne(spots)
11,Acnecure Gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp
12,Acnedap Gel 15gm,Acne,Mild to moderate acne (spots)
13,Acnedap Plus Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
14,Acnehit Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
15,Acnelak Soap 75gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
16,Acnelak Clz Cream 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
17,Acnelak Z Lotion 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
18,Acnemoist Cream 60gm,Acne,treat the most severe form of acne (nodular acne)Â 
19,Acnerex Soap 75gm,Acne,Â treat acne vulgarisÂ 
20,Acneril 1% Gel 10gmAcneril Tablet 10Acneril 0.10% Cream 20gm,Acne,Â treat acne vulgarisÂ 
21,Acnesol 1% Solution 25mlAcnesol Gel 20gmAcnesol Solution 45ml,Acne,Â treat mild to moderate acne(spots)
22,Acnesol A Nano Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
23,Acnesol CL Gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin
24,Acnestal Soap 75gm,Acne,"Â gives smooth, soft, supple and fresh feeling to the skin"
25,Acnestar 10mg Capsule 10'SAcnestar 2.5% Soap 75gmAcnestar S Soap 75gmAcnestar 20mg Capsule 10'S,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
26,Acnetoin 20mg Capsule 10'SAcnetoin Gel 15gm,Acne,Mild to moderate acne (spots)
27,Acnetoin Plus Oinment 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
28,Acnetor AD 1% Ointment 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
29,Acnetor AD Cream 15Acnetor AD Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
30,Acnewar Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
31,Acnewar Plus Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
32,Acnex 10mg Capsule 10'SAcnex 20mg Capsule 10'SAcnex Bar 75gm,Acne,treat the most severe form of acne (nodular acne)Â 
33,Acnezyl Gel(Topical) 10gm,Acne,Â treat acne vulgarisÂ 
34,Acnicin Gel 15gmAcnicin 1/1% Solution 25ml,Acne,Â treat acne vulgarisÂ 
35,Acnil Soap 75gm,Acne,Â treat mild to moderate acne(spots)
36,Acnin Cream 50gm,Acne,treatment of dry scaly skin disorders of the scalp
37,Acnin Pimple Care Face Pack 50gm,Acne,Mild to moderate acne (spots)
38,Acno 0.05% Gel 15gmAcno 20mg Capsule 10'S,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
39,Acnoff Anti Acne Bar 100gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
40,Acnorm Lotion 180ml,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
41,Acnovate Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
42,Acnovate Trio Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
43,Acutret 10mg Capsule 10'SAcutret 30mg Capsule 10'SAcutret 20mg Capsule 10'SAcutret 5mg Capsule 10'S,Acne,treat the most severe form of acne (nodular acne)Â 
44,Aczit 10mg Softgel 10'S,Acne,Â treat acne vulgarisÂ 
45,Adabor Gel 15gm,Acne,Â treat acne vulgarisÂ 
46,Adacin Gel 15gm,Acne,Â treat mild to moderate acne(spots)
47,Adaclene Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
48,Adaferin Gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin
49,Adalene Nano Gel 15mg,Acne,"Â gives smooth, soft, supple and fresh feeling to the skin"
50,Adapen Gel 15gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
51,Adaple Gel 15gmAdaple C Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
52,Adapnil Gel 15gm,Acne,Mild to moderate acne (spots)
53,Adiff Aqueous Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
54,Adistar Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
